turno,replica,braco,veiculos,dist_km,tempo_min,custo_brl,servidas,demanda_total,cobertura,custo_por_pass,pico,pico_repositorio,superlotados,desconforto,acima_tempo,paradas_repetidas
manha_1,0,cw1,4,166.4,362.0,404.12,178,198,89.8989898989899,2.270337078651685,46,68,0,30,2,4
manha_1,0,cw13,4,165.6,360.0,402.18,178,198,89.8989898989899,2.259438202247191,47,68,0,31,2,4
manha_1,0,multi,5,202.2,430.0,491.06,178,198,89.8989898989899,2.7587640449438204,43,43,0,10,0,0
manha_1,1,cw1,4,173.0,366.0,420.15,173,198,87.37373737373737,2.4286127167630056,46,55,0,20,1,5
manha_1,1,cw13,4,159.95,334.0,388.46,173,198,87.37373737373737,2.2454335260115608,46,55,0,20,0,5
manha_1,1,multi,6,233.15,491.0,566.22,173,198,87.37373737373737,3.272947976878613,42,42,0,6,0,1
manha_1,2,cw1,4,165.15,366.0,401.08,178,198,89.8989898989899,2.253258426966292,47,57,0,29,3,4
manha_1,2,cw13,4,164.05,359.0,398.41,178,198,89.8989898989899,2.238258426966292,46,58,0,29,2,4
manha_1,2,multi,6,245.35,522.0,595.86,178,198,89.8989898989899,3.3475280898876405,48,48,0,19,0,0
manha_1,3,cw1,5,194.65,417.0,472.72,184,198,92.92929292929293,2.569130434782609,43,49,0,19,2,2
manha_1,3,cw13,5,188.25,398.0,457.18,184,198,92.92929292929293,2.4846739130434785,43,44,0,15,1,1
manha_1,3,multi,6,230.85,500.0,560.64,184,198,92.92929292929293,3.0469565217391303,47,47,0,15,0,0
manha_1,4,cw1,4,170.0,369.0,412.86,178,198,89.8989898989899,2.319438202247191,47,58,0,30,2,3
manha_1,4,cw13,4,162.15,351.0,393.79,178,198,89.8989898989899,2.212303370786517,47,49,0,30,2,2
manha_1,4,multi,6,242.05,506.0,587.85,178,198,89.8989898989899,3.3025280898876406,43,43,0,12,0,0
manha_1,5,cw1,4,175.8,380.0,426.95,177,198,89.39393939393939,2.4121468926553673,48,60,0,32,3,1
manha_1,5,cw13,4,170.9,367.0,415.05,177,198,89.39393939393939,2.3449152542372884,48,53,0,32,2,2
manha_1,5,multi,6,230.15,487.0,558.94,177,198,89.39393939393939,3.157853107344633,48,48,0,23,0,0
manha_1,6,cw1,4,165.7,365.0,402.42,178,198,89.8989898989899,2.2607865168539325,46,61,0,28,3,5
manha_1,6,cw13,4,162.5,354.0,394.65,178,198,89.8989898989899,2.2171348314606742,46,61,0,30,2,4
manha_1,6,multi,5,203.9,439.0,495.2,178,198,89.8989898989899,2.7820224719101123,37,37,0,1,0,2
