semente,turno,braco,veiculos,dist_km,custo_brl,cobertura,pico,acima_tempo
1,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
1,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
1,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
1,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
1,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
1,tarde_1,multi,3,134.82,327.43,48.35164835164835,20,2
1,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
1,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
1,noite_1,cw1,3,211.05,512.56,98.73417721518987,64,3
1,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
1,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
1,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
2,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
2,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
2,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
2,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
2,tarde_1,cw1,2,140.39,340.95,92.3076923076923,43,2
2,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
2,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
2,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
2,noite_1,cw1,3,211.3,513.16,98.73417721518987,64,3
2,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
2,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
2,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
3,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
3,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
3,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
3,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
3,tarde_1,cw1,2,141.49,343.62,92.3076923076923,43,2
3,tarde_1,multi,4,169.4,411.41,48.35164835164835,20,2
3,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
3,tarde_2,multi,3,123.9,300.91,91.66666666666667,19,1
3,noite_1,cw1,3,210.5,511.22,98.73417721518987,64,3
3,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
3,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
3,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
4,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
4,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
4,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
4,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
4,tarde_1,cw1,2,141.79,344.35,92.3076923076923,43,2
4,tarde_1,multi,4,155.02,376.49,48.35164835164835,20,2
4,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
4,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
4,noite_1,cw1,3,206.0,500.29,98.73417721518987,64,3
4,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
4,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
4,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
5,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
5,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
5,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
5,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
5,tarde_1,cw1,2,141.79,344.35,92.3076923076923,43,2
5,tarde_1,multi,4,154.12,374.3,48.35164835164835,20,1
5,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
5,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
5,noite_1,cw1,3,212.7,516.56,98.73417721518987,64,3
5,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
5,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
5,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
6,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
6,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
6,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
6,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
6,tarde_1,cw1,2,141.89,344.59,92.3076923076923,43,2
6,tarde_1,multi,3,134.82,327.43,48.35164835164835,20,2
6,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
6,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
6,noite_1,cw1,3,217.25,527.61,98.73417721518987,64,3
6,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
6,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
6,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
7,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
7,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
7,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
7,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
7,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
7,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
7,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
7,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
7,noite_1,cw1,3,216.35,525.43,98.73417721518987,64,3
7,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
7,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
7,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
8,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
8,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
8,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
8,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
8,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
8,tarde_1,multi,4,169.4,411.41,48.35164835164835,20,2
8,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
8,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
8,noite_1,cw1,3,206.8,502.23,98.73417721518987,64,3
8,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
8,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
8,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
9,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
9,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
9,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
9,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
9,tarde_1,cw1,2,143.29,347.99,92.3076923076923,43,2
9,tarde_1,multi,3,134.82,327.43,48.35164835164835,20,2
9,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
9,tarde_2,multi,3,119.1,289.25,91.66666666666667,19,0
9,noite_1,cw1,3,212.7,516.56,98.73417721518987,64,3
9,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
9,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
9,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
10,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
10,manha_1,multi,5,202.2,491.06,89.8989898989899,43,0
10,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
10,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
10,tarde_1,cw1,2,141.49,343.62,92.3076923076923,43,2
10,tarde_1,multi,4,156.42,379.89,48.35164835164835,20,0
10,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
10,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
10,noite_1,cw1,3,205.2,498.35,98.73417721518987,64,3
10,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
10,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
10,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
11,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
11,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
11,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
11,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
11,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
11,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
11,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
11,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
